College,Email,Domain
Colorado College,admission@coloradocollege.edu,coloradocollege
Colorado Mesa University,admissions@coloradomesa.edu,coloradomesa
Colorado School Of Mines,admit@mines.edu,mines
Colorado State University,admissions@colostate.edu,colostate
Colorado State University Pueblo,info@csupueblo.edu,csupueblo
Columbia College,admissions@ccis.edu,ccis
Columbia College,admissions@columbiasc.edu,columbiasc
Columbia College Chicago,admissions@colum.edu,colum
Columbia College Hollywood,admissions@columbiacollege.edu,columbiacollege
Columbia International University,yesciu@ciu.edu,ciu
Columbus College Of Art And Design,admissions@ccad.edu,ccad
Columbus State University,admissions@columbusstate.edu,columbusstate
Concord University,admissions@concord.edu,concord
Concordia College,admission@concordia-ny.edu,concordia-ny
Concordia College Moorhead,admissions@cord.edu,cord
Concordia University Chicago,Admission@CUChicago.edu,CUChicago
Concordia University Irvine,admissions@cui.edu,cui
Concordia University Irvine,admission@cui.edu,cui
Concordia University Nebraska,admiss@cune.edu,cune
Concordia University Portland Or,admission@cu-portland.edu,cu-portland
Concordia University St Paul,admissions@csp.edu,csp
Concordia University St Paul,admission@csp.edu,csp
Concordia University Texas,admissions@concordia.edu,concordia
Concordia University Wisconsin,admissions@cuw.edu,cuw
Connecticut College,admission@conncoll.edu,conncoll
Conservatory Of Music Of Puerto Rico,admisiones@cmpr.edu,cmpr
Converse College,admissions@converse.edu,converse
Cooper Union Advancement Science And Art,admissions@cooper.edu,cooper
Coppin State University,admissions@coppin.edu,coppin
Corban University,admissions@corban.edu,corban
Cornell College,admission@cornellcollege.edu,cornellcollege
Cornerstone University,admissions@cornerstone.edu,cornerstone
Cornish College Of The Arts,admission@cornish.edu,cornish
Covenant College,admissions@covenant.edu,covenant
Creighton University,admissions@creighton.edu,creighton
Criswell College,enrollment@criswell.edu,criswell
Crown College,admissions@crown.edu,crown
Culinary Institute America Ny,admissions@culinary.edu,culinary
Culver Stockton College,admission@culver.edu,culver
Cumberland University,admissions@cumberland.edu,cumberland
Cuny Baruch College,admissions@baruch.cuny.edu,baruch.cuny
Cuny City College,admissions@ccny.cuny.edu,ccny.cuny
Cuny Hunter College,admissions@hunter.cuny.edu,hunter.cuny
Cuny John Jay College Of Criminal Justice,admissions@jjay.cuny.edu,jjay.cuny
Cuny Lehman College,enroll@lehman.cuny.edu,lehman.cuny
Cuny Medgar Evers College,applytomec@mec.cuny.edu,mec.cuny
Cuny New York City College Of Technology,admissions@citytech.cuny.edu,citytech.cuny
Cuny Queens College,admissions@qc.cuny.edu,qc.cuny
Cuny York College,admissions@york.cuny.edu,york.cuny
Curry College,adm@curry.edu,curry
Daemen College,admissions@daemen.edu,daemen
Dakota State University,admissions@dsu.edu,dsu
Dakota Wesleyan University,admissions@dwu.edu,dwu
Dallas Baptist University,admiss@dbu.edu,dbu
Dallas Christian College,admissions@dallas.edu,dallas
Dalton State College,admissions@daltonstate.edu,daltonstate
Dartmouth College,admissions.office@dartmouth.edu,dartmouth
Davenport University,info@davenport.edu,davenport
Davidson College,admission@davidson.edu,davidson
Davis Elkins College,summersm@dewv.edu,dewv
Dean College,admissions@dean.edu,dean
Dean College,admission@dean.edu,dean
Defiance College,admissions@defiance.edu,defiance
Delaware State University,admissions@desu.edu,desu
Delaware Valley University,admitme@delval.edu,delval
Delta State University,admissions@deltastate.edu,deltastate
Denison University,admissions@denison.edu,denison
Denison University,admission@denison.edu,denison
Depaul University,admission@depaul.edu,depaul
Depauw University,admission@depauw.edu,depauw
Desales University,admiss@desales.edu,desales
Dickinson College,admissions@dickinson.edu,dickinson
Dickinson State University,dsu.hawks@dickinsonstate.edu,dickinsonstate
Digipen Institute Of Technology,admissions@digipen.edu,digipen
Dillard University,admissions@dillard.edu,dillard
Dixie State University,admissions@dixie.edu,dixie
Doane University,admissions@doane.edu,doane
Dominican College,admissions@dc.edu,dc
Dominican University,domadmis@dom.edu,dom
Dominican University California,enroll@dominican.edu,dominican
Dordt College,admissions@dordt.edu,dordt
Drake University,admission@drake.edu,drake
Drew University,cadm@drew.edu,drew
Drexel University,enroll@drexel.edu,drexel
Drury University,druryad@drury.edu,drury
Duke Kunshan University,undergrad-admissions@dukekunshan.edu.cn,dukekunshan
Duke University,undergrad-admissions@duke.edu,duke
Duquesne University,admissions@duq.edu,duq
Dyouville College,admissons@dyc.edu,dyc
Earlham College,admission@earlham.edu,earlham
Earlham College,admissions@earlham.edu,earlham
East Carolina University,admis@ecu.edu,ecu
East Central University,admissions@ecok.edu,ecok
East Stroudsburg University Of Pennsylvania,undergrads@esu.edu,esu
East Tennessee State University,go2etsu@etsu.edu,etsu
East Texas Baptist University,admissions@etbu.edu,etbu
East West University,admissions@eastwest.edu,eastwest
Eastern Connecticut State University,admissions@easternct.edu,easternct
Eastern Illinois University,admissions@eiu.edu,eiu
Eastern Kentucky University,admissions@eku.edu,eku
Eastern Mennonite University,admiss@emu.edu,emu
Eastern Michigan University,admissions@emich.edu,emich
Eastern Nazarene College,admissions@enc.edu,enc
Eastern New Mexico University,enrollment.services@enmu.edu,enmu
Eastern Oregon University,admissions@eou.edu,eou
Eastern University,ugadm@eastern.edu,eastern
Eastern Washington University,admissions@ewu.edu,ewu
Eckerd College,admissions@eckerd.edu,eckerd
Edgewood College,admissions@edgewood.edu,edgewood
Edinboro University Pennsylvania,admissions@edinboro.edu,edinboro
Edward Waters College,admissions@ewc.edu,ewc
Elizabeth City State University,admissions@ecsu.edu,ecsu
Elizabethtown College,admissions@etown.edu,etown
Elmhurst College,admit@elmhurst.edu,elmhurst
Elmira College,admissions@elmira.edu,elmira
Elms College,admissions@elms.edu,elms
Elon University,admissions@elon.edu,elon
Embry Riddle Aeronautical University Daytona Beach,dbadmit@erau.edu,erau
Embry Riddle Aeronautical University Prescott,pradmit@erau.edu,erau
Embry Riddle Aeronautical University Worldwide Campus,wwadmissions@erau.edu,erau
Emerson College,admission@emerson.edu,emerson
Emily Carr University Of Art Design,admissions@ecuad.ca,ecuad
Emmanuel College,enroll@emmanuel.edu,emmanuel
Emmanuel College Ga,admissions@ec.edu,ec
Emmanuel College Ma,admissions@emmanuel.edu,emmanuel
Emmaus Bible College,admissions@emmaus.edu,emmaus
Emory Henry College,ehadmiss@ehc.edu,ehc
Emory University,admission@emory.edu,emory
Emporia State University,go2esu@emporia.edu,emporia
Endicott College,admission@endicott.edu,endicott
Erskine College,admissions@erskine.edu,erskine
Escp Europe Business School,bachelorlondon@escpeurope.eu,escpeurope
Eugene Lang College The New School For Liberal Arts,lang@newschool.edu,newschool
Eureka College,admissions@eureka.edu,eureka
Evangel University,admissions@evangel.edu,evangel
Evergreen State College,admissions@evergreen.edu,evergreen
Fairfield University,admis@fairfield.edu,fairfield
Fairleigh Dickinson University,admissions@fdu.edu,fdu
Fairmont State University,admit@fairmontstate.edu,fairmontstate
Faith Baptist Bible College And Theological Seminary,admissions@faith.edu,faith
Fashion Institute Of Technology,fitinfo@fitnyc.edu,fitnyc
Faulkner University,admissions@faulkner.edu,faulkner
Fayetteville State University,admissions@uncfsu.edu,uncfsu
Felician University,admissions@felician.edu,felician
Ferris State University,admissions@ferris.edu,ferris
Ferrum College,admissions@ferrum.edu,ferrum
Fisher College,admissions@fisher.edu,fisher
Fisk University,admit@fisk.edu,fisk
Fitchburg State University,admissions@fitchburgstate.edu,fitchburgstate
Five Towns College,admissions@ftc.edu,ftc
Flagler College,admissions@flagler.edu,flagler
Flashpoint Chicago Campus Columbia College Hollywood,flashpoint.admissions@columbiacollege.edu,columbiacollege
Florida Agricultural Mechanical University,ugrdadmissions@famu.edu,famu
Florida Atlantic University,admissions@fau.edu,fau
Florida College,admissions@floridacollege.edu,floridacollege
Florida Gulf Coast University,admissions@fgcu.edu,fgcu
Florida Institute Technology,admission@fit.edu,fit
Florida International University,admiss@fiu.edu,fiu
Florida Memorial University,admit@fmuniv.edu,fmuniv
Florida National University,admissions@fnu.edu,fnu
Florida Polytechnic University,admissions@flpoly.org,flpoly
Florida Southern College,fscadm@flsouthern.edu,flsouthern
Florida State University,admissions@fsu.edu,fsu
Fontbonne University,fbyou@fontbonne.edu,fontbonne
Fordham University,enroll@fordham.edu,fordham
Fort Hays State University,tigers@fhsu.edu,fhsu
Fort Lewis College,admission@fortlewis.edu,fortlewis
Fort Valley State University,admissions@fvsu.edu,fvsu
Framingham State University,admissions@framingham.edu,framingham
Francis Marion University,admissions@fmarion.edu,fmarion
Franciscan Missionaries Of Our Lady University,ololcinfo@ololcollege.edu,ololcollege
Franciscan University Of Steubenville,admissions@franciscan.edu,franciscan
Franklin College,admissions@franklincollege.edu,franklincollege
Franklin Marshall College,admission@fandm.edu,fandm
Franklin Pierce University,admissions@franklinpierce.edu,franklinpierce
Franklin University Switzerland,info@fus.edu,fus
Franklin W Olin College Engineering,apply@olin.edu,olin
Freed Hardeman University,admissions@fhu.edu,fhu
Fresno Pacific University,admissions@fresno.edu,fresno
Friends University,admission@friends.edu,friends
Frostburg State University,fsuadmissions@frostburg.edu,frostburg
Furman University,admission@furman.edu,furman
Gallaudet University,admissions.office@gallaudet.edu,gallaudet
Gannon University,admissions@gannon.edu,gannon
Gardner Webb University,admissions@gardner-webb.edu,gardner-webb
George Fox University,admissions@georgefox.edu,georgefox
George Mason University,admissions@gmu.edu,gmu
George Washington University,gwadm@gwu.edu,gwu
Georgetown College,admissions@georgetowncollege.edu,georgetowncollege
Georgetown University,guadmiss@georgetown.edu,georgetown
Georgia College,admissions@gcsu.edu,gcsu
Georgia Gwinnett College,ggcadmissions@ggc.edu,ggc
Georgia Southern University Armstrong And Liberty Campuses,admissions@georgiasouthern.edu,georgiasouthern
Georgia Southwestern State University,admissions@gsw.edu,gsw
Georgia State University,admissions@gsu.edu,gsu
Georgian Court University,admissions@georgian.edu,georgian
Gettysburg College,admiss@gettysburg.edu,gettysburg
Glenville State College,admissions@glenville.edu,glenville
Goddard College,admissions@goddard.edu,goddard
Goldey Beacom College,gbc@gbc.edu,gbc
Goldfarb School Of Nursing At Barnes Jewish College,gson-admissions@bjc.org,bjc
Gonzaga University,admissions@gonzaga.edu,gonzaga
Gordon College,admissions@gordon.edu,gordon
Gordon State College,gordon@gordonstate.edu,gordonstate
Goshen College,admission@goshen.edu,goshen
Goucher College,admissions@goucher.edu,goucher
Governors State University,admissions@govst.edu,govst
Grace Bible College,graceadmissions@gbcol.edu,gbcol
Grace College Seminary,admissions@grace.edu,grace
Graceland University,admissions@graceland.edu,graceland
Grambling State University,admissions@gram.edu,gram
Grand Canyon University,facouns@gcu.edu,gcu
Grand Valley State University,go2gvsu@gvsu.edu,gvsu
Grand View University,admissions@grandview.edu,grandview
Granite State College,ask.granite@granite.edu,granite
Great Basin College,admissions@gbcnv.edu,gbcnv
Green Mountain College,admissions@greenmtn.edu,greenmtn
Greensboro College,admissions@greensboro.edu,greensboro
Greenville University,admissions@greenville.edu,greenville
Grinnell College,admission@grinnell.edu,grinnell
Grove City College,admissions@gcc.edu,gcc
Guilford College,admission@guilford.edu,guilford
Gustavus Adolphus College,admission@gustavus.edu,gustavus
Gwynedd Mercy University,admissions@gmercyu.edu,gmercyu
Hamilton College,admission@hamilton.edu,hamilton
Hamline University Mn,admission@hamline.edu,hamline
Hampden Sydney College,admissions@hsc.edu,hsc
Hampden Sydney College,hsapp@hsc.edu,hsc
Hampshire College,admissions@hampshire.edu,hampshire
Hampton University,admit@hamptonu.edu,hamptonu
Hannibal Lagrange University,admissions@hlg.edu,hlg
Hanover College,admission@hanover.edu,hanover
Hardin Simmons University,enroll@hsutx.edu,hsutx
Harding University,admissions@harding.edu,harding
Harris Stowe State University,admissions@hssu.edu,hssu
Harrisburg University Science And Technology,UndergraduateAdmissions@HarrisburgU.edu,HarrisburgU
Hartwick College,admissions@hartwick.edu,hartwick
Harvard College,college@fas.harvard.edu,harvard
Harvey Mudd College,admission@hmc.edu,hmc
Hastings College,hcadmissions@hastings.edu,hastings
Haverford College,admission@haverford.edu,haverford
Hawaii Pacific University,admissions@hpu.edu,hpu
Heidelberg University,admission@heidelberg.edu,heidelberg
Hellenic College,admissions@hchc.edu,hchc
Henderson State University,admissions@hsu.edu,hsu
Hendrix College,adm@hendrix.edu,hendrix
High Point University,admiss@highpoint.edu,highpoint
Hilbert College,admissions@hilbert.edu,hilbert
Hillsdale College,admissions@hillsdale.edu,hillsdale
Hiram College,admission@hiram.edu,hiram
Hobart And William Smith Colleges,admissions@hws.edu,hws
Hodges University,admit@hodges.edu,hodges
Hofstra University,admission@hofstra.edu,hofstra
Hollins University,huadm@hollins.edu,hollins
Holy Cross College,admissions@hcc-nd.edu,hcc-nd
Holy Family University,admissions@holyfamily.edu,holyfamily
Holy Names University,admissions@hnu.edu,hnu
Hood College,admissions@hood.edu,hood
Hood College,admission@hood.edu,hood
Hope College,admissions@hope.edu,hope
Houghton College,admission@houghton.edu,houghton
Houston Baptist University,admissions@hbu.edu,hbu
Howard Payne University,enroll@hputx.edu,hputx
Howard University,admission@howard.edu,howard
Hult International Business School,undergraduate.info@hult.edu,hult
Humboldt State University,hsuinfo@humboldt.edu,humboldt
Huntingdon College,admiss@hawks.huntingdon.edu,huntingdon
Huntingdon College Of Health Sciences,admissions@hchs.edu,hchs
Huntington University,admissions@huntington.edu,huntington
Husson University,admit@husson.edu,husson
Huston Tillotson University,admission@htu.edu,htu
Idaho State University,admiss@isu.edu,isu
Ie University,university@ie.edu,ie
Illinois College,admissions@mail.ic.edu,ic
Illinois Institute Technology,admission@iit.edu,iit
Illinois State University,admissions@illinoisstate.edu,illinoisstate
Illinois Wesleyan University,iwuadmit@iwu.edu,iwu
Immaculata University,Admiss@immaculata.edu,immaculata
Indiana Institute Of Technology,admissions@indianatech.edu,indianatech
Indiana State University,admissions@indstate.edu,indstate
Indiana University Bloomington,iuadmit@indiana.edu,indiana
Indiana University East,applynow@iue.edu,iue
Indiana University Kokomo,iuadmis@iuk.edu,iuk
Indiana University Northwest,admit@iun.edu,iun
Indiana University Of Pennsylvania,admissions-inquiry@iup.edu,iup
Indiana University South Bend,admissions@iusb.edu,iusb
Indiana University Southeast,admissions@ius.edu,ius
Indiana Wesleyan University,admissions@indwes.edu,indwes
Institute Of American Indian Arts,admissions@iaia.edu,iaia
