College Name,email,domain,state,are undocumented students considered international or domestic?,are you need-blind for undocumented students?,are there any restrictions on merit aid for undocumented students at your school?,does your school provide merit aid specially for undocumented students?,would you advise an undocumented student to reveal their status in their application or subsequent email?,how would their status affect their application?,is there a special contact point for undocumented students?,what other piece of advice would you give an undocumented student hoping for admission at your school?,other admissions information,are undocumented students eligible for need-based aid?,"what financial aid application should undocumented students send? the css, fafsa, isfaa or a form unique to your school?","if need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",what would be the requirements for such scholarships and what would a student's chances of getting them?,other financial aid information,are there organized groups or clubs comprised of or advocating for undocumented students in your school?,how often does your office receive applications from undocumented students?,does your school allow immigration and customs enforcement (ice) officers onto campus without a warrant?,does the campus police enforce immigration law?,does your school share student immigration status with ice?,does your school provide distance-learning options for deported students to complete their degrees?,does your school provide confidential legal support to students with immigration law questions and issues?,other student life information,has undocu-student webpage,other information,special contact,gives aid?
Bard College Simons Rock Early College,['admit@simons-rock.edu'],simons-rock,,,We are need-blind for all applicants.,There are no restrictions on merit aid.,"We do not have specific merit scholarships for undocumented students. All of our merit scholarships are open to all applicants. Applicants are considered for any merit aid they are eligible for. Most merit aid is based on the strength of the admission application but some merit aid also takes other factors into consideration, like leadership, location, etc.",,,,"If you do not have a Social Security Number (SSN), you do not need to enter anything in the Social Security Number field in the admission application (it is not required). This field refers to U.S. citizens only.
Equity and inclusion are central to Simon’s Rock’s mission and values, and we welcome all students, regardless of citizenship status or national origin to apply to the College. This includes students who are undocumented, and students who hold DACA (Deferred Action for Childhood Arrivals) status.","Yes, April Shandor. She can be reached at ashandor@simons-rock.edu and 413-528-7385.","Yes, they are eligible for need-based aid.",,,"Not applicable, as need-based aid is available.","Not applicable, as need-based aid is available.",,We are a very small college (400 students) so we receive fewer applications in general than a larger school. The small size means we receive fewer applications from all groups. We don't receive many applications from undocumented students. I would say at most a couple or a few per year.,Bard College at Simon’s Rock will not release information about students and employees regarding citizenship or immigration status unless required by law.,Bard College at Simon’s Rock will not release information about students and employees regarding citizenship or immigration status unless required by law.,Bard College at Simon’s Rock will not release information about students and employees regarding citizenship or immigration status unless required by law.,We currently have some students studying remotely due to COVID but expect all of our classes and students will be in person next year.,We provide free legal consultation to students who are concerned about whether they can visit their countries of origin or who are concerned about their status when traveling internationally.,,,"Equity and inclusion are central to Simon’s Rock’s mission and values, and we welcome all students, regardless of citizenship status or national origin to apply to the College. This includes students who are undocumented, and students who hold DACA (Deferred Action for Childhood Arrivals) status.",April Shandor ashandor@simons-rock.edu 413-528-7385,0.0
Barnard College,['admissions@barnard.edu'],barnard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry University,['admissions@barry.edu'],barry,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton College,['enroll@barton.edu'],barton,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastyr University,['admissions@bastyr.edu'],bastyr,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bates College,['admission@bates.edu'],bates,ME,,,,,,,,,,,,,,,,,,,,,,,https://www.bates.edu/admission/undocumented-daca-applicants/,,,
Bay Path University,['admiss@baypath.edu'],baypath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor University,['admissions@baylor.edu'],baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon College,['admissions@beaconcollege.edu'],beaconcollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becker College,['admissions@becker.edu'],becker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belhaven University,['admission@belhaven.edu'],belhaven,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellarmine University,"['admission@bellarmine.edu', 'admissions@bellarmine.edu']",bellarmine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont Abbey College,['admissions@bac.edu'],bac,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont University,"['admissions@belmont.edu', 'buadmission@belmont.edu']",belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beloit College,['admiss@beloit.edu'],beloit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji State University,['admissions@bemidjistate.edu'],bemidjistate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedict College,['admissions@benedict.edu'],benedict,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedictine College,"['bcaudle@benedictine.edu', 'bcadmiss@benedictine.edu']",benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedictine University Az,['mesa@ben.edu'],ben,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedictine University Il,['admissions@ben.edu'],ben,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett College,['admiss@bennett.edu'],bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennington College,['admissions@bennington.edu'],bennington,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley University,['ugadmission@bentley.edu'],bentley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berea College,['admissions@berea.edu'],berea,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berklee College Of Music,['admissions@berklee.edu'],berklee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry College,['admissions@berry.edu'],berry,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany College,"['enrollment@bethanywv.edu', 'admissions@bethanylb.edu']",bethanywv,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany Lutheran College,['admissions@blc.edu'],blc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethel College,"['admissions@bethelcollege.edu', 'admissions@bethelks.edu']",bethelcollege,IN,,,,,,,,,,,,,,,,,,,,,,,,,"The Director of diversity, equity and inclusion",0.0
Bethel University,"['admissions@bethelu.edu', 'buadmissions-cas@bethel.edu']",bethelu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethune Cookman University,['admissions@cookman.edu'],cookman,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beulah Heights University,['admissions@beulah.edu'],beulah,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biola University,['admissions@biola.edu'],biola,,,,,,,,,,Biola considers all undocumented students as domestic students and ask that they follow the admissions guidelines for First-time College Students: https://www.biola.edu/admissions/undergrad/first-time or Transfer Students: https://www.biola.edu/admissions/undergrad/transfer. Their application is reviewed under the same standard as any other domestic student.,,,,,"As for Financial Aid, please refer to #2 in Steps: https://www.biola.edu/financial-aid/process/apply for forms that undocumented students should fill out to receive aid.",,,,,,,,,,,,0.0
Birmingham Southern College,"['admiss@bsc.edu', 'admission@bsc.edu']",bsc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishops University,['admissions@ubishops.ca'],ubishops,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hills State University,['admissions@bhsu.edu'],bhsu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburn College,['admit@blackburn.edu'],blackburn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing Rieman College Of Nursing,['admissions@brcn.edu'],brcn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomfield College,['admission@bloomfield.edu'],bloomfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloomsburg University Of Pennsylvania,['buadmiss@bloomu.edu'],bloomu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mountain College,['admissions@bmc.edu'],bmc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluefield College,['admissions@bluefield.edu'],bluefield,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluefield State College,['jschlimmer@bluefieldstate.edu'],bluefieldstate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluffton University,['admissions@bluffton.edu'],bluffton,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Jones University,['admission@bju.edu'],bju,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise State University,['admissions@boisestate.edu'],boisestate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,"['bcapplicant@bc.edu', 'studentservices@bc.edu']",bc,,They are considered to be undocumented students who attend high school in the U.S.,"Technically, BC is need-blind for all applicants. However, we attempt to reach out to undocumented applicants to share policies regarding financial aid. (Further details below).",,,,No.,No.,,"Please do your research regarding the financial aid policies, if that will be a consideration for students.","Generally, BC requires all applicants for need-based aid to be eligible for federal funding. In order to receive BC institutional aid, a student must also be eligible to receive federal need-based aid. At this time, federal funding is available to U.S. citizens, Permanent Residents, and students with asylee or refugee status.",,"BC is now a partner with QuestBridge, and we will consider undocumented students who are applying through this program.",,,,,,,,,,,,,,0.0
Boston University,['admissions@bu.edu'],bu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowdoin College,['admissions@bowdoin.edu'],bowdoin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie State University,['ugradadmissions@bowiestate.edu'],bowiestate,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Green State University,['choosebgsu@bgsu.edu'],bgsu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley University,['admissions@bradley.edu'],bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandeis University,['admissions@brandeis.edu'],brandeis,,,,,,,,,,"Brandeis welcomes all applicants, regardless of citizenship status, to apply for admission.
Just like our other applicants, undocumented/out-of-status students, with or without Deferred Action for Childhood Arrival (DACA) status, Temporary Protected Status (TPS) students, and those with Asylum Status are considered for merit-based scholarships automatically. There is no additional application process or form in order to be considered for merit aid.
The other application requirements remain consistent with our other first year students, and you can find more information about first-year applicants and undocumented applicants at https://bit.ly/2SeWIhd. It is also important to mention that out-of-status/undocumented students are not considered international, and our application process for them will reflect that.",,,,,"In order to be considered for need-based aid, they need only submit a CSS profile. Brandeis is a need-aware school for all applicants.",,,,,,,,,,,,1.0
Brenau University,['admissions@brenau.edu'],brenau,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brescia University,['admissions@brescia.edu'],brescia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevard College,['admissions@brevard.edu'],brevard,NC,Domestic,We are need blind for everyone,All institutional aid not associated with the FAFSA is available.,"No, but they have access to all merit and half tuition scholarships like any other student.",,,We have counselors who cover geographic regions based on where the student lives.,Apply early and visit often!,,Not need based from FAFSA- but we do offer institutional aid,,They will have some out of pocket expenses but we can help them with up to a large portion.,GPA and test or test optional score eligibility along with interviewing at Scholarship Day.,Application for admission and a meeting with their Admissions Counselor.,None specifically at the moment.,Often,We abide by all federal regulations,Campus Security maintains safety on campus as their primary function.,"For students who hold I-20s and Student Visas only, to my knowledge.",We do not.,Confidential counseling is available to all students but legal support is typically up to the student.,,,The best way for your students to learn more is to visit our campus! During the visit a member of the Admissions team will sit down and talk more in depth about their personal situation and questions.,,0.0
Brewton Parker College,['admissions@bpc.edu'],bpc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briar Cliff University,['admissions@briarcliff.edu'],briarcliff,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater College,['admissions@bridgewater.edu'],bridgewater,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater State University,['admission@bridgew.edu'],bridgew,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University Hawaii,['admissions@byuh.edu'],byuh,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigham Young University Idaho,['admissions@byui.edu'],byui,ID,,,,,,,,,"We unfortunately cannot give specific council about how to fill out the application, but we recommend that you speak with our international services office so they can go over some important information and requirements with you. You may be able to be admitted to BYU-Idaho. Here is the information for our international services office
https://www.byui.edu/international-services.
However, international services cannot go over a lot of information with you unless you are admitted as a student already. Our admissions office recommends that you just fill out the application as accurately as possible if you choose to apply.",,,,,"Undocumented students are not eligible for federal financial aid, employment, or some internships.
For your financial aid questions, international services can give you more information about what applications you can fill out if you are admitted",,,,,,,,BYU-Idaho enrollment will not prevent deportation if you are apprehended,,,,0.0
Brigham Young University Provo,['admissions@byu.edu'],byu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan College,['admiss@bryan.edu'],bryan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant University,['admission@bryant.edu'],bryant,RI,,We are need blind in the application review for all students.,All applicants to Bryant University are eligible for the same level of merit scholarships.,There is not a specific merit award designated for undocumented students. Undocumented students are eligible for the same scholarship as all other applications.,,"A undocumented status will have no impact on the review of the application. We review international, domestic and undocumented students using the same evaluation techniques.",,"I would give you the same advice I would give to any applicant to Bryant. The admission process is designed to evaluate your ability and do you have the skill set to be successful in a Bryant curriculum. We are focused on your past academic performance but also are evaluating all pieces of your application. Throughout the application I would try to give insight into how you past experiences have prepared you, a look in to your personality, what your are passionate about and why you are interested in studying at Bryant.","To my understanding there is not a specific person on campus but between the admission office, financial aid office and student support offices there a people on campus that can help support undocumented students.",Undocumented students are not eligible for need-based aid.,,,All applicants to Bryant are automatically considered for merit based scholarship upon completion of their application. Not all students receive scholarship but it is fair to say a healthy majority will receive some form of a merit based award.,This is really dependent on you individual circumstances and the level of scholarship you receive if you are to receive scholarship. Finances do become more challenging for many undocumented students because of the lack of access to need-based aid. For some students there is a feasible path to study at Bryant. The best way to judge this is to go through the admission process to find out the options for you and then make a decision that works best for you and your personal circumstances.,,,,,,,,,,,,0.0
Bryn Athyn College,['admissions@brynathyn.edu'],brynathyn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryn Mawr College,['admissions@brynmawr.edu'],brynmawr,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucknell University,['admissions@bucknell.edu'],bucknell,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista University,['admissions@bvu.edu'],bvu,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler University,['admission@butler.edu'],butler,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabarrus College Of Health Sciences,['admissions@cabarruscollege.edu'],cabarruscollege,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabrini University,['admit@cabrini.edu'],cabrini,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairn University,['admissions@cairn.edu'],cairn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell University,['admissions@caldwell.edu'],caldwell,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Baptist University,['admissions@calbaptist.edu'],calbaptist,,,,,,,,,,,,,,,,,,,,,,,,,,,
California College Arts,['admissions@cca.edu'],cca,,,,,,,,,,,,,,,,,,,,,,,,,,,
California College Of The Arts,['enroll@cca.edu'],cca,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institute Of The Arts,['admissions@calarts.edu'],calarts,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institute Technology Caltech,['ugadmissions@caltech.edu'],caltech,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Lutheran University,['admissions@callutheran.edu'],callutheran,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Maritime Academy,['admissions@csum.edu'],csum,,,,,,,,,,,,,,,,,,,,,,,,,,,
California State Polytechnic University Pomona,['admissions@cpp.edu'],cpp,,,,,,,,,,,,,,,,,,,,,,,,,,,
California State University Bakersfield,['admissions@csub.edu'],csub,,,,,,,,,,,,,,,,,,,,,,,,,,,
