Domain,College Name,Are undocumented students considered international or domestic?,Are you need-blind for undocumented students?,Are there any restrictions on merit aid for undocumented students at your school?,Does your school provide merit aid specially for undocumented students?,Would you advise an undocumented student to reveal their status in their application or subsequent email?,How would their status affect their application?,Is there a special contact point for undocumented students?,What other piece of advice would you give an undocumented student hoping for admission at your school?,Other Admissions Information,Are undocumented students eligible for need-based aid?,"What financial aid application should undocumented students send? The CSS, FAFSA, ISFAA or a form unique to your school?","If need-based aid is not available, is there a feasible path undocumented students can take to pay for their education with stackable merit scholarships, loans and/or grants from your school?",What would be the requirements for such scholarships and what would a student's chances of getting them?,Other Financial Aid Information,Are there organized groups or clubs comprised of or advocating for undocumented students in your school?,How often does your office receive applications from undocumented students?,Does your school allow Immigration and Customs Enforcement (ICE) officers onto campus without a warrant?,Does the campus police enforce immigration law?,Does your school share student immigration status with ICE?,Does your school provide distance-learning options for deported students to complete their degrees?,Does your school provide confidential legal support to students with immigration law questions and issues?,Other Student Life Information,Has undocu-student webpage,Other Information,Special Contact,Gives aid?
bc,Boston College,They are considered to be undocumented students who attend high school in the U.S.,"Technically, BC is need-blind for all applicants. However, we attempt to reach out to undocumented applicants to share policies regarding financial aid. (Further details below).",,,,No.,No.,,"Please do your research regarding the financial aid policies, if that will be a consideration for students.","Generally, BC requires all applicants for need-based aid to be eligible for federal funding. In order to receive BC institutional aid, a student must also be eligible to receive federal need-based aid. At this time, federal funding is available to U.S. citizens, Permanent Residents, and students with asylee or refugee status.",,"BC is now a partner with QuestBridge, and we will consider undocumented students who are applying through this program.",,N/A,,,,,,,,,,,,0
brandeis,Brandeis University,,,,,,,,,"Brandeis welcomes all applicants, regardless of citizenship status, to apply for admission.
Just like our other applicants, undocumented/out-of-status students, with or without Deferred Action for Childhood Arrival (DACA) status, Temporary Protected Status (TPS) students, and those with Asylum Status are considered for merit-based scholarships automatically. There is no additional application process or form in order to be considered for merit aid.
The other application requirements remain consistent with our other first year students, and you can find more information about first-year applicants and undocumented applicants at https://bit.ly/2SeWIhd. It is also important to mention that out-of-status/undocumented students are not considered international, and our application process for them will reflect that.",,,,,"In order to be considered for need-based aid, they need only submit a CSS profile. Brandeis is a need-aware school for all applicants.",,,,,,,,,,,,1
brevard,Brevard College,Domestic,We are need blind for everyone,All institutional aid not associated with the FAFSA is available.,"No, but they have access to all merit and half tuition scholarships like any other student.",,,We have counselors who cover geographic regions based on where the student lives.,Apply early and visit often!,,Not need based from FAFSA- but we do offer institutional aid,,They will have some out of pocket expenses but we can help them with up to a large portion.,GPA and test or test optional score eligibility along with interviewing at Scholarship Day.,Application for admission and a meeting with their Admissions Counselor.,None specifically at the moment.,Often,We abide by all federal regulations,Campus Security maintains safety on campus as their primary function.,"For students who hold I-20s and Student Visas only, to my knowledge.",We do not.,Confidential counseling is available to all students but legal support is typically up to the student.,,,The best way for your students to learn more is to visit our campus! During the visit a member of the Admissions team will sit down and talk more in depth about their personal situation and questions.,,0
byui,Brigham Young University Idaho,,,,,,,,,"We unfortunately cannot give specific council about how to fill out the application, but we recommend that you speak with our international services office so they can go over some important information and requirements with you. You may be able to be admitted to BYU-Idaho. Here is the information for our international services office
https://www.byui.edu/international-services.
However, international services cannot go over a lot of information with you unless you are admitted as a student already. Our admissions office recommends that you just fill out the application as accurately as possible if you choose to apply.",,,,,"Undocumented students are not eligible for federal financial aid, employment, or some internships.
For your financial aid questions, international services can give you more information about what applications you can fill out if you are admitted",,,,,,,,BYU-Idaho enrollment will not prevent deportation if you are apprehended,,,,0
bryant,Bryant University,,We are need blind in the application review for all students.,All applicants to Bryant University are eligible for the same level of merit scholarships.,There is not a specific merit award designated for undocumented students. Undocumented students are eligible for the same scholarship as all other applications.,,"A undocumented status will have no impact on the review of the application. We review international, domestic and undocumented students using the same evaluation techniques.",,"I would give you the same advice I would give to any applicant to Bryant. The admission process is designed to evaluate your ability and do you have the skill set to be successful in a Bryant curriculum. We are focused on your past academic performance but also are evaluating all pieces of your application. Throughout the application I would try to give insight into how you past experiences have prepared you, a look in to your personality, what your are passionate about and why you are interested in studying at Bryant.","To my understanding there is not a specific person on campus but between the admission office, financial aid office and student support offices there a people on campus that can help support undocumented students.",Undocumented students are not eligible for need-based aid.,,,All applicants to Bryant are automatically considered for merit based scholarship upon completion of their application. Not all students receive scholarship but it is fair to say a healthy majority will receive some form of a merit based award.,This is really dependent on you individual circumstances and the level of scholarship you receive if you are to receive scholarship. Finances do become more challenging for many undocumented students because of the lack of access to need-based aid. For some students there is a feasible path to study at Bryant. The best way to judge this is to go through the admission process to find out the options for you and then make a decision that works best for you and your personal circumstances.,,,,,,,,,,,,0
csuchico,California State University Chico,,,,,,,,,,,,,"They all vary on what each scholarship needs, you will need to do your research.",,,,,,,,,,,,The Dream Center – Ms. Teresita Curiel,1
csudh,California State University Dominguez Hills,,"As a public institution in California, we do have students complete either the FAFSA or CA Dream Act in order to package students’ financial aid based on financial need",Besides scholarships federal aid and state aid are not based on merit but based on financial need,CSUDH has a Toro Dreamers Success Center and they do have a yearly scholarship specifically for our undocumented students.,,Undocumented status does not affect a students’ application on tuition purposes,,"Since status does not actually affect admissions, my only advice for an undocumented student is to seek out all the resources that is available on campus.","Yes, we have our Ana who is the Director for that program is a wonderful contact","Undocumented students in CA should apply for the California Dream Act (https://dream.csac.ca.gov/) They follow the same timeline as FAFSA. Our undocumented students may qualify for certain grants through the CA Dream Act. Also, look for undocumented specific scholarships.",,,See answer above. Scholarships are typically personal funding so their requirements are going to vary drastically from one to another.,"Need based aid is CA Dream Act, all other aids like scholarships will be more based on merit, but with so many different scholarship opportunities out there I cannot speak for them all and a student would need to sift through the ones they feel most confident in obtaining.",,Every year we receive applications from undocumented students.,"By federal law, any ICE agent is allowed on public spaces, however, the Office of the Chancellor has made a commitment not to break FERPA and share information with ICE agents who do not have a warrant.","No, by California law, no police officer has the authority to act as an immigration agent.","No, this would be a violation of FERPA. However, we cannot stop a detention if the officers have a federal warrant.","While we have online classes, and more now due to Covid restrictions, I cannot say that once we return back to in person classes if every major will offer an entirely online option. We do have majors that are entirely online, however, not all programs are online.","Yes, CSUDH students, faculty, staff and their immediate family members have access to free immigration legal services. They can make an appointment here: https://www.csudh.edu/dream-center/legal-services/","Yes, not only is there the TDSC, but we also have a organization on campus called ENF: Immigrant Student Alliance (Espíritu de Nuestro Futuro: Immigrant Student Alliance). They are a student organization that advocates, protects and supports the rights of undocumented students’ access to higher education. Their email is enf.csudh@gmail.com",,,Toro Dreamers Success center. tdsc@csudh.edu,0
cambridgecollege,Cambridge College,Domestic.,The status does not matter to us. We do not ask the status of the student.,,,,We do not ask for their status.,"No. For information about the degree program, call (800) 829-4723",,We are nonprofit. our tuition is affordable. Learn more here: https://www.cambridgecollege.edu/about-cambridge-college,"No, they are not eligible for aid.",,None. They are responsible for payment.,,,No,,,No,No,,,No,,,,0
carleton,Carleton College,,,,,,,,,"We consider applications from all students, regardless of citizenship. This includes students living in the United States who are not U.S. citizens or legal permanent residents. We are able to fully support undocumented students with DACA status: https://www.uscis.gov/humanitarian/consideration-deferred-action-childhood-arrivals-daca. These students are not considered among our international applicants.
Because we have limited financial resources, we consider undocumented students without DACA status with international applicants who apply for financial aid. These undocumented students are eligible for Carleton-based grants and loans.
Applying for Admission.
Undocumented students should follow the same admissions application procedures: http://www.carleton.edu/admissions/apply/steps/ as U.S. citizens and U.S. permanent residents.",,,,,"Applying for Financial Aid
Undocumented students who need financial assistance must complete just one frm:
College Scholarship Service (CSS) Financial Aid PROFILE: https://cssprofile.collegeboard.org/.
Awards for undocumented students come in the form of grants, scholarships, student loan, and a campus employment opportunity. Financial aid is applied to academic-year expenses and generally is not available for travel or summer expenses. Scholarship amounts vary and are based on the need of the individual student. It is important to note that if we cannot meet your demonstrated financial need, we will not offer you admission.",,,,,,,,"https://www.carleton.edu/dean-of-students/student-support/daca-support/

DACA FAQ: https://www.carleton.edu/dean-of-students/student-support/daca-support/daca-faq/",,,,0
chapman,Chapman University,,,,,,,,,,,,,,,,,,,,,,,https://www.chapman.edu/admission/undergraduate/how-to-apply/undocumented-students.aspx,,,
coastal,Coastal Carolina University,,,,,,,,,,,,,,,,,,,,,,,,"As a public university in South Carolina, Coastal Carolina University must abide by state laws when considering applicants for admission:

SECTION 59-101-430. Unlawful aliens. eligibility to attend public institution of higher learning. development of process for verifying lawful presence. eligibility for public benefits on basis of residence.

(A) An alien unlawfully present in the United States is not eligible to attend a public institution of higher learning in this State, as defined in Section 59-103-5. The trustees of a public institution of higher learning in this State shall develop and institute a process by which lawful presence in the United States is verified. In doing so, institution personnel shall not attempt to independently verify the immigration status of any alien, but shall verify any alien's immigration status with the federal government pursuant to 8 USC Section 1373(c).

(B) An alien unlawfully present in the United States is not eligible on the basis of residence for a public higher education benefit including, but not limited to, scholarships, financial aid, grants, or resident tuition.

HISTORY: 2008 Act No. 280, Section 17, eff June 4, 2008.

This excerpt is from South Carolina’s code of laws. A complete, unannotated Title 59 – Education resource can be accessed here: https://www.scstatehouse.gov/code/t59c101.php",,0
colgate,Colgate University,,,,,,,,,,,,,,"Because of the nature of our financial aid award packages, undocumented students are considered international students in the application process. Colgate is need-aware for all applicants but meets 100% of demonstrated financial need, which is based on the CSS Profile. This means that there are some students who are receiving full financial aid packages on our campus. Colgate does not offer any academic merit aid or scholarships.",,,,,,,,,,It is up to each student whether they feel comfortable sharing that they are an undocumented student. Colgate does not publish how many undocumented students apply or how many enroll due to protect our students. Undocumented students can reach out to our Office of International Student Services so they can learn more about how Colgate supports their individual needs. They can be contacted at 315-228-6131 or oiss@colgate.edu.,,0
cofc,College Of Charleston,,,,,,,,,"At this time, College of Charleston is unable to enroll or accept applications from undocumented students due to our status as a South Carolina public university: https://admissions.cofc.edu/enroll/lawful-presence/index.php",,,,,,,,,,,,,,,,,0
cuny,College Of Staten Island Cuny,Domestic,We are not,No restrictions,We do not for a majority of these cases.,,,No specific counselor.,Student is treated like everyone else. They just need to do their best!,,Jose Peralta Dream Act for NY residents,,,,,https://ww2.hunter.cuny.edu/students/student-life/clubs/,Every year,,,,,https://ww2.hunter.cuny.edu/students/student-life/emergency-support-and-resources/emergency-funding/,,,,,0
coloradocollege,Colorado College,"Undocumented students are considered domestic students, not international, if they will graduate from a US secondary (high school) institution.","As with our general applicant pool, we are not need-blind for undocumented students.","The college will consider merit aid as part of our wholistic review process, as we do for ALL applicants to CC.","Financial Aid to fully meet 100% of demonstrated need for undocumented students are pulled from special funds, which include grants and merit aid special for undocumented students.",,Citizenship status would have no bearing on their application/candidacy to Colorado College.,,"Apply with confidence to Colorado College, and now we are affirmative for undocumented students! We are committed to serving all students in the application process, regardless of citizenship status.","We want students to feel comfortable disclosing their status to us, so that we can provide the necessary resources to apply for financial aid, skip any unnecessary steps in the financial aid process and admission process.",,,,,"Please contact the Office of Financial Aid for any additional financial related questions:

Phone: (719) 389-6651
Toll-free: (800) 260-6458
Email:financialaid@coloradocollege.edu",,Often. Each year we received dozens of applications from undocumented students to Colorado College.,"No.

There are multiple student life offices across campus that have resources for undocumented and DACA students:
-Career Center: https://www.coloradocollege.edu/offices/careercenter/begin-your-search/resources-for-undocumented-and-daca-students.html

-The Butler Center: https://www.coloradocollege.edu/offices/butlercenter/education-resources/index.html

The Global Education and Field Study (https://www.coloradocollege.edu/offices/globalandfieldstudy/international-students/index.html) office supports international students (immigration law questions, campus support and resources, etc.). You can contact their office directly at: isss@coloradocollege.edu",,,,,,,,"Pedro Ramirez, Associated Director of Outreach & Access | pramirez@coloradocollege.edu | 719-389-6944",0
colostate,Colorado State University,"For students living in the US, domestic.",No.,No.,All of our merit aid is open to our undocumented domestic students.,,It does not affect their admissions decision.,,Be in touch with our office to answer your questions during every step of the way.,In their application. It is an option in common app.,Yes.,,,,"Use the one unique to the state of Colorado, the CASFA.","Yes, UndocUnited is our student clubb.",,No.,No.,No.,Potentially.,Yes.,Every year.,,,Priscilla Gardea. Priscilla.Gardea@colostate.edu,0
concord,Concord University,,,,,,,,,,,,,,,,,,,,,,,,,,0
csp,Concordia University St Paul,,,,,,,,,,,,,,,,,,,,,,,,,,0
creighton,Creighton University,Domestic,We are need-blind all applications.,"Merit scholarships are solely based on merit, nothing else.","There are no scholarships specific to undocumented students. There are additional scholarships available for special programs. To be eligible, you need to complete your application by December 1.",,Citizenship status plays no factor in the admissions process.,Nope! You'll work with your admissions counselor for your high school.,"Do not stress about your status in the admissions process. When we review your application, we want to see that you'll be a good fit on our campus and a successful student.","Yes, because then we can help you with the need-based aid process and connect you with various support services on campus.",Yes and we will help you with this process.,,You can stack scholarships with need-based aid.,"Scholarships are based on merit: grades, extra-curricular and leadership activities, any test scores you decide to submit, etc. Most students qualify for some level of scholarship.",We have our own version of the FAFSA that we will have you complete for need-based aid.,"We do have a committee of staff and faculty who discuss needs of undocumented students, to make sure they are supported on campus. We have various departments that advocate for and offer support services for undocumented students.",We get many applications every year from undocumented students.,"No, we would not.","Nope, our campus safety is a security team, not the police.","We only share the information that we legally have to, such as student visa information.","I'm not sure we've run into this in the past, but we may be able to support a student who needs to be virtual for a short time.",,,,,,0
dsu,Dakota State University,,,,,,,,,As for admissions. Undocumented students will follow our regular university admission requirements. You can find those requirements here: https://dsu.edu/admissions/undergraduate/how-to-apply/undergraduate-admissions-requirements.html. Their status does not affect admission decisions.,,,,,"As for financial aid, undocumented students do not qualify for aid at DSU as our financial aid office primarily offers state and federal aid options. Because of that, they will not qualify as they are not US citizens. They may qualify for scholarships if they meet the merit based qualifications.",,,,,,,,"Our clubs at DSU are student developed and ran, and we currently do not have any clubs based on status. I am currently unaware of our institution having to provide information about immigration.",,,,0
daltonstate,Dalton State College,,,,,,,,,"Regarding Admissions- Undocumented students are able to apply and take classes at Dalton State College. We do not deny students based on their residency. Our application has a section where you can claim residency. If a student does not have legal residency, they can simply not claim residency which will eliminate the need to submit any lawful presence documents. The student will just need to submit transcripts and an immunization record. Once the student is accepted, they can freely take classes.",,,,,"Regarding Financial Aid- Unfortunately, undocumented students are not eligible for any federal funding as you need a SSN number to apply for FAFSA. FAFSA is what allows all schools in the country to verify a student's financial aid eligibility. Each school may have independent help in regards to offering students additional aid that does not fall under federal funding. At Dalton State, we have the Dalton State Foundation Scholarship. These are scholarships that all Dalton State students can apply for regardless of residency. The scholarships within the foundation have various requirements based on different things like GPA, major, and demographical information. Undocumented students do have to pay the out-of-state tuition rate as there is no way to verify residency for in-state tuition. There are some private loan lenders that allow students under the DACA status to apply for loans with a US resident/Citizen Co-signer such as SoFi. https://www.sofi.com/private-student-loans/",,,,,,,,"Regarding student life-There are no requirements for residency to be involved in any of our student life functions. All our students are welcomed and encouraged to join organizations and be a part of all our campus events. Our campus police are exceptionally friendly and never will legal residency be asked of students from our public safety department. At Dalton State, we are Georgia's first and only HSI institution. This stands for Hispanic Serving Institution. Over 25% of our student population identifies as Hispanic.",,,"I highly recommend contacting our Dean of Students, Dr. Jami Hall, for further questions regarding our policies that may affect undocumented students. Her email is jhall@daltonstate.edu",0
dartmouth,Dartmouth College,,,,,,,,,,"Undocumented (https://admissions.dartmouth.edu/glossary-term/undocumented-students) and DACA students receive Dartmouth’s need-based financial aid (https://admissions.dartmouth.edu/glossary-term/need-based-financial-aid) in the same way that U.S. citizens or permanent residents do. We will meet 100% of your demonstrated need (https://admissions.dartmouth.edu/glossary-term/demonstrated-financial-need), using Dartmouth's financial aid.
Please visit our website, by clicking here (https://admissions.dartmouth.edu/afford/apply-financial-aid#filter-1571), for more information regarding how to apply for aid as an undocumented applicant.",,"Financial Aid funds may include need-based financial aid (https://admissions.dartmouth.edu/glossary-term/need-based-financial-aid), campus employment, and if appropriate, a loan.

You will find many answers to your questions right on our website. A few of our pages you may find particularly helpful are the following:
Undocumented students: https://admissions.dartmouth.edu/glossary-term/undocumented-students
Apply for financial aid: https://admissions.dartmouth.edu/afford/apply-financial-aid#filter-1571
Types of Aid: https://admissions.dartmouth.edu/afford/types-financial-aid
How Aid Works: https://admissions.dartmouth.edu/afford/how-aid-works",,"Undocumented students should complete and submit the CSS Profile and IDOC. Because federal funds (https://admissions.dartmouth.edu/glossary-term/federal-financial-aid) are not available to undocumented students, you will not fill out the FAFSA. More information can be found here (https://admissions.dartmouth.edu/afford/apply-financial-aid#filter-1571).",,,,,,,,,,"Please visit our Undocumented Students page: https://admissions.dartmouth.edu/glossary-term/undocumented-students.

We do not offer merit aid we only offer need-based aid, which isn't impacted by status. We do not have a point person for undocumented students, but any admissions officer should be able to answer your questions. The choice to reveal your status is completely yours. CoFIRED (dartmouth.cofired@dartmouth.edu) is a student organization that advocates for undocumented students and more humane immigration policies. They're a great resource for you as you begin to ask those more specific questions about student life as an undocumented student.",,0
denison,Denison University,Undocumented students are considered international in our admission/financial aid process,"We are need-aware when reviewing international applicants, but if admitted, we meet full demonstrated need","No, there are no restrictions","All of our applicants are eligible for merit aid, but we don't have merit programs specifically for undocumented students",,It would not change how we review the application.,,"I would suggest all interested applicants engage with our office by attending events, either in person or virtual, and to complete an admission interview (virtual is available).","Yes, I would encourage disclosure of undocumented status on the application, or in a separate email. We keep all applicant information private.",Yes,,"In addition to need-based aid, we also offer scholarships and work-study to undocumented students, and we meet the full demonstrated need of every student we admit. Unfortunately we do not offer institutional loans to non-US citizens.",,"We have our own unique form, which is the Denison COF: https://connect.denison.edu/checklist/cof.pdf",Yes there are groups that advocate for undocumented students and immigrants generally speaking. You can see a recent example here: https://denisonian.com/2021/03/features/denison-students-introduce-new-organization-immigrants-without-borders/,We receive applications for undocumented students every admission cycle.,No,No,No,"No, unfortunately we do not offer distance learning, all of our instruction is on campus. Keep in mind we're a small, residential campus. We're just not set up to support remote learning (outside of the pandemic, that is).","Yes, we have services here that students can use, including access to immigration attorneys",,,,,0
digipen,Digipen Institute Of Technology,,,,,,,,,,,,,,,,,,,,,,,,"Given recent reports and concerns related to immigration around the country, the Office of Admissions wanted share our concern and support to students affected by recent increased Immigration and Customs Enforcement activity nationwide. Regardless of immigration status, we want all applicants to know that you are welcome here. You and your family are welcome to become an integral part of the DigiPen Dragon community.

Generally, DACA and other undocumented students are not eligible for federal, state, or institutional need-based financial aid due to eligibility criteria that requires either U.S. citizenship or other eligible noncitizen status (e.g., permanent residents of the U.S.) and/or the submission of the Free Application for Federal Student Aid (FAFSA). DACA students are not eligible to complete the FAFSA due to these federal regulations.

Due to the complexity and uncertainty (e.g., potential changes in admission criteria) caused by the global pandemic, you are strongly encouraged to apply to DigiPen and send required documents to us first. Once you have decided to apply to DigiPen, we can discuss further via Zoom, phone, or in person. As a reminder, you can submit your online application via https://management.digipen.edu/srs-app/applicationmenu.aspx.",,0
dixie,Dixie State University,Domestic. Undocumented students do not work with DSU International Student Services to apply.,,,,,It ensures that they get the correct application checklist (same as for our domestic applicants) and ensures that they are not fraudulent in certifying that all of the information on their initial application is accurate.,"No, undocumented students are treated the same as domestic applicants and work through the same contact email address: admissions@dixie.edu","We are an open enrollment institution that does not have a GPA minimum required for admission.
Undocumented students who have attended high school in Utah for at least 3 years may qualify for a tuition waiver to receive the equivalent of resident tuition under Utah State House Bill 144.",We ask explicitly in the application and advise that students reveal their status while applying. They need to do so in order to receive the correct application checklist following application submission and for their application to avoid being put on hold in a review bin.,,,,,,,,,,,,,,,,,0
dom,Dominican University,,,,,,,,,,,,,,,"Yes, the most notable: Undocumented & Immigrant Allyance.",All the time about 10% of our application pool identifies as such.,"No, we are a sanctuary campus and have policies/procedures to follow if that occurs.",,,"It would depend on the program, we do offer a few online degrees.","Yes, we work with local partners to provide resources to students and their families.",,,,,0
emory,Emory University,,,,,,,,,"Undocumented students are considered domestic students, which means that they are evaluated for financial aid on a need-blind basis, like other domestic students.

Undocumented students are eligible to receive merit aid.

If the student does not indicate their status, they will likely be mis-labeled as an international student, so it is advisable to make our office aware.",,,,,,,,,,,,,,,https://apply.emory.edu/apply/other/undocumented.html,"William Segura, william.segura@emory.edu",0
